7,3,1057.81,485.35,37.01,70.57,0.43,-1,-1,-1
8,3,1062.07,487.87,33.87,64.26,0.39,-1,-1,-1
9,3,1065.46,489.78,31.24,62.03,0.37,-1,-1,-1
10,3,1069.18,492.68,28.49,56.57,0.37,-1,-1,-1
11,3,1066.79,495.05,32.09,64.51,0.20,-1,-1,-1
12,3,1066.68,494.80,34.82,67.78,0.37,-1,-1,-1
13,3,1067.06,495.07,33.40,65.23,0.42,-1,-1,-1
14,3,1069.32,495.58,34.03,64.04,0.36,-1,-1,-1
15,3,1070.05,499.82,33.67,64.92,0.39,-1,-1,-1
16,3,1073.84,501.26,33.80,66.06,0.43,-1,-1,-1
16,5,1113.28,621.44,42.61,75.49,0.44,-1,-1,-1
17,3,1076.50,503.44,35.23,67.74,0.46,-1,-1,-1
17,5,1119.36,624.21,42.28,77.58,0.30,-1,-1,-1
18,3,1075.81,504.89,35.69,66.30,0.43,-1,-1,-1
18,5,1122.03,622.57,42.79,80.07,0.21,-1,-1,-1
19,3,1075.75,506.16,35.31,63.51,0.38,-1,-1,-1
19,5,1122.69,625.12,44.12,83.34,0.25,-1,-1,-1
20,3,1077.15,507.74,35.20,63.32,0.38,-1,-1,-1
20,5,1123.78,625.42,44.63,82.82,0.41,-1,-1,-1
21,3,1078.55,509.31,35.09,63.12,0.38,-1,-1,-1
21,5,1125.92,627.76,45.27,84.42,0.36,-1,-1,-1
22,3,1079.95,510.89,34.98,62.93,0.38,-1,-1,-1
22,5,1128.13,629.19,45.98,85.75,0.36,-1,-1,-1
22,6,876.66,887.46,42.51,87.43,0.33,-1,-1,-1
23,3,1081.35,512.46,34.87,62.73,0.38,-1,-1,-1
23,5,1130.34,630.63,46.69,87.07,0.36,-1,-1,-1
23,6,883.80,899.41,42.39,88.17,0.37,-1,-1,-1
24,3,1086.86,517.43,32.68,60.65,0.44,-1,-1,-1
24,5,1132.56,632.08,47.38,88.36,0.36,-1,-1,-1
24,6,890.42,913.87,40.56,86.83,0.30,-1,-1,-1
25,3,1088.95,519.73,32.67,60.19,0.42,-1,-1,-1
25,5,1143.84,636.70,45.84,78.09,0.25,-1,-1,-1
25,6,897.04,927.70,39.92,85.46,0.30,-1,-1,-1
25,7,722.67,991.03,52.65,91.67,0.40,-1,-1,-1
26,3,1090.82,522.74,32.32,60.18,0.42,-1,-1,-1
26,5,1147.33,638.31,46.02,78.39,0.25,-1,-1,-1
26,6,903.67,941.55,39.27,84.07,0.30,-1,-1,-1
26,7,731.95,1004.14,50.09,78.71,0.27,-1,-1,-1
27,3,1095.27,527.99,33.09,61.00,0.33,-1,-1,-1
27,5,1150.81,639.93,46.19,78.69,0.25,-1,-1,-1
